"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"10/25/2016 00:55:00","DUNWOD",61760,11.42,0.91,0.00
"10/25/2016 00:55:00","GENESE",61753,10.37,-0.14,0.00
"10/25/2016 00:55:00","H Q",61844,10.16,-0.35,0.00
"10/25/2016 00:55:00","HUD VL",61758,11.39,0.88,0.00
"10/25/2016 00:55:00","LONGIL",61762,11.65,1.15,0.00
"10/25/2016 00:55:00","MHK VL",61756,10.81,0.30,0.00
"10/25/2016 00:55:00","MILLWD",61759,11.42,0.91,0.00
"10/25/2016 00:55:00","N.Y.C.",61761,11.48,0.98,0.00
"10/25/2016 00:55:00","NORTH",61755,9.97,-0.54,0.00
"10/25/2016 00:55:00","NPX",61845,15.40,1.15,-3.75
"10/25/2016 00:55:00","O H",61846,10.17,-0.34,0.00
"10/25/2016 00:55:00","PJM",61847,10.83,0.33,0.00
"10/25/2016 00:55:00","WEST",61752,10.32,-0.19,0.00
"10/25/2016 01:00:00","CAPITL",61757,11.41,0.80,0.00
"10/25/2016 01:00:00","CENTRL",61754,10.66,0.04,0.00
"10/25/2016 01:00:00","DUNWOD",61760,11.57,0.96,0.00
"10/25/2016 01:00:00","GENESE",61753,10.39,-0.22,0.00
"10/25/2016 01:00:00","H Q",61844,10.28,-0.34,0.00
"10/25/2016 01:00:00","HUD VL",61758,11.53,0.91,0.00
"10/25/2016 01:00:00","LONGIL",61762,11.86,1.24,0.00
"10/25/2016 01:00:00","MHK VL",61756,10.92,0.31,0.00
"10/25/2016 01:00:00","MILLWD",61759,11.56,0.94,0.00
"10/25/2016 01:00:00","N.Y.C.",61761,11.63,1.01,0.00
"10/25/2016 01:00:00","NORTH",61755,10.10,-0.52,0.00
"10/25/2016 01:00:00","NPX",61845,15.52,1.16,-3.75
"10/25/2016 01:00:00","O H",61846,10.18,-0.44,0.00
"10/25/2016 01:00:00","PJM",61847,10.92,0.31,0.00
"10/25/2016 01:00:00","WEST",61752,10.33,-0.29,0.00
"10/25/2016 01:05:00","CAPITL",61757,15.78,1.11,0.00
"10/25/2016 01:05:00","CENTRL",61754,14.69,0.03,0.00
"10/25/2016 01:05:00","DUNWOD",61760,15.96,1.29,0.00
"10/25/2016 01:05:00","GENESE",61753,14.31,-0.35,0.00
"10/25/2016 01:05:00","H Q",61844,14.23,-0.44,0.00
"10/25/2016 01:05:00","HUD VL",61758,15.91,1.25,0.00
"10/25/2016 01:05:00","LONGIL",61762,16.40,1.72,-0.02
"10/25/2016 01:05:00","MHK VL",61756,15.08,0.41,0.00
"10/25/2016 01:05:00","MILLWD",61759,15.96,1.29,0.00
"10/25/2016 01:05:00","N.Y.C.",61761,16.04,1.38,0.00
"10/25/2016 01:05:00","NORTH",61755,14.04,-0.63,0.00
"10/25/2016 01:05:00","NPX",61845,21.08,1.63,-4.79
"10/25/2016 01:05:00","O H",61846,13.99,-0.67,0.00
"10/25/2016 01:05:00","PJM",61847,15.02,0.35,0.00
"10/25/2016 01:05:00","WEST",61752,14.18,-0.48,0.00
"10/25/2016 01:10:00","CAPITL",61757,15.23,1.06,0.00
"10/25/2016 01:10:00","CENTRL",61754,14.21,0.04,0.00
"10/25/2016 01:10:00","DUNWOD",61760,15.42,1.25,0.00
"10/25/2016 01:10:00","GENESE",61753,13.87,-0.30,0.00
"10/25/2016 01:10:00","H Q",61844,13.73,-0.44,0.00
"10/25/2016 01:10:00","HUD VL",61758,15.36,1.19,0.00
"10/25/2016 01:10:00","LONGIL",61762,15.81,1.64,0.00
"10/25/2016 01:10:00","MHK VL",61756,14.58,0.41,0.00
"10/25/2016 01:10:00","MILLWD",61759,15.40,1.23,0.00
"10/25/2016 01:10:00","N.Y.C.",61761,15.49,1.32,0.00
"10/25/2016 01:10:00","NORTH",61755,13.55,-0.62,0.00
"10/25/2016 01:10:00","NPX",61845,20.49,1.53,-4.79
"10/25/2016 01:10:00","O H",61846,13.59,-0.58,0.00
"10/25/2016 01:10:00","PJM",61847,14.54,0.37,0.00
"10/25/2016 01:10:00","WEST",61752,13.77,-0.40,0.00
"10/25/2016 01:15:00","CAPITL",61757,14.78,1.02,0.00
"10/25/2016 01:15:00","CENTRL",61754,13.87,0.11,0.00
"10/25/2016 01:15:00","DUNWOD",61760,14.96,1.20,0.00
"10/25/2016 01:15:00","GENESE",61753,13.54,-0.22,0.00
"10/25/2016 01:15:00","H Q",61844,13.32,-0.44,0.00
"10/25/2016 01:15:00","HUD VL",61758,14.92,1.16,0.00
"10/25/2016 01:15:00","LONGIL",61762,15.36,1.60,0.00
"10/25/2016 01:15:00","MHK VL",61756,14.16,0.40,0.00
"10/25/2016 01:15:00","MILLWD",61759,14.96,1.20,0.00
"10/25/2016 01:15:00","N.Y.C.",61761,15.03,1.27,0.00
"10/25/2016 01:15:00","NORTH",61755,13.11,-0.65,0.00
"10/25/2016 01:15:00","NPX",61845,19.98,1.43,-4.79
"10/25/2016 01:15:00","O H",61846,13.32,-0.44,0.00
"10/25/2016 01:15:00","PJM",61847,14.21,0.45,0.00
"10/25/2016 01:15:00","WEST",61752,13.50,-0.26,0.00
"10/25/2016 01:20:00","CAPITL",61757,15.06,1.06,0.00
"10/25/2016 01:20:00","CENTRL",61754,14.08,0.08,0.00
"10/25/2016 01:20:00","DUNWOD",61760,15.22,1.23,0.00
"10/25/2016 01:20:00","GENESE",61753,13.73,-0.27,0.00
"10/25/2016 01:20:00","H Q",61844,13.54,-0.45,0.00
"10/25/2016 01:20:00","HUD VL",61758,15.18,1.19,0.00
"10/25/2016 01:20:00","LONGIL",61762,15.63,1.64,0.00
"10/25/2016 01:20:00","MHK VL",61756,14.40,0.41,0.00
"10/25/2016 01:20:00","MILLWD",61759,15.21,1.22,0.00
"10/25/2016 01:20:00","N.Y.C.",61761,15.29,1.30,0.00
"10/25/2016 01:20:00","NORTH",61755,13.35,-0.64,0.00
"10/25/2016 01:20:00","NPX",61845,18.68,1.53,-3.16
"10/25/2016 01:20:00","O H",61846,13.50,-0.49,0.00
"10/25/2016 01:20:00","PJM",61847,14.44,0.45,0.00
"10/25/2016 01:20:00","WEST",61752,13.67,-0.32,0.00
"10/25/2016 01:25:00","CAPITL",61757,15.07,1.04,0.00
"10/25/2016 01:25:00","CENTRL",61754,14.14,0.11,0.00
"10/25/2016 01:25:00","DUNWOD",61760,15.24,1.21,0.00
"10/25/2016 01:25:00","GENESE",61753,13.81,-0.23,0.00
"10/25/2016 01:25:00","H Q",61844,13.58,-0.45,0.00
"10/25/2016 01:25:00","HUD VL",61758,15.19,1.16,0.00
"10/25/2016 01:25:00","LONGIL",61762,15.63,1.60,0.00
"10/25/2016 01:25:00","MHK VL",61756,14.44,0.41,0.00
"10/25/2016 01:25:00","MILLWD",61759,15.24,1.21,0.00
"10/25/2016 01:25:00","N.Y.C.",61761,15.31,1.28,0.00
"10/25/2016 01:25:00","NORTH",61755,13.39,-0.65,0.00
